a-acp,3840
av,3840
av-an,3840
av-c,3840
av-d,3840
av-dc,3840
av-ds,3840
av-dx,3840
av-j,3840
av-jc,3840
av-jn,3840
av-js,3840
av-vvg,3840
av-vvn,3840
av-x,3840
c-acp,3072
cc,3072
cc-acp,3072
c-crq,52224
ccx,3072
crd,2816
cs,3072
cst,3072
d,3328
dc,3328
dg,3328
ds,3328
dt,3328
dx,3328
j,2560
jc,2560
jc-jn,2560
j-jn,2560
jp,2560
js,2560
js-jn,2560
j-u,2560
j-vvg,2560
j-vvn,2560
j-vvnu,2560
n1,16400
n11vbz,16400
n1-an,16400
n2,32784
n2-j,32784
n2-jn,32784
n2-vdg,32784
n2-vvg,32784
n-crq,49168
ng1,16408
ng1-jn,16408
ng1-vvn,16408
ng2,32792
ng2-jn,32792
n-jn,16
njp,16
njp2,32784
njpg1,16408
njpg2,32792
np1,16432
np1-n,48
np2,32784
npg1,16440
n-vvg,16
n-vvn,16
ord,2816
p-acp,224
pc-acp,15872
pi,12320
pi2,45088
pig,12328
pix,12320
pn22,8384
pn31,12480
png11,16584
png12,32968
png21,24776
png22,41160
png31,28872
png32,45256
pno11,16576
pno12,32960
pno21,24768
pno31,28864
pno32,45248
pns11,16512
pns12,32896
pns21,16512
pns31,28800
pns32,45184
po11,16424
po12,32808
po21,24616
po22,41000
po31,28712
po32,45096
pp-f,1024
px11,16640
px12,33024
px21,24832
px22,41216
px31,28928
px32,45312
q-crq,49184
qo-crq,49184
r-crq,49184
rg-crq,49184
ro-crq,49184
sy,0
uh,2048
uh-av,2048
uh-crq,2048
uh-n,2048
uh-np,2048
uh-x,2048
vb2r,24832
vbb,256
vbd2r,33024
vbd2s,33024
vbdr,33024
vbds,256
vbg,256
vbi,256
vbm,16672
vbn,256
vbr,256
vbz,256
vd2,28928
vdb,256
vdd,256
vdd2,24832
vdg,256
vdi,256
vdn,256
vdz,256
vh2,24832
vhb,256
vhd,256
vhd2,24832
vhg,256
vhi,256
vhn,12544
vhz,256
vm2,24832
vmb,256
vmbx,256
vmd,256
vmd2,256
vv2,256
vvb,256
vvd,256
vvd2,24832
vvg,256
vvi,256
vvn,256
vvz,256
xx,2560
